wl_nm,b,g,r,re,nir
772,0.00039,0.00080,0.00162,0.00370,0.00122
773,0.00033,0.00138,0.00101,0.00337,0.00114
774,0.00021,0.00156,0.00080,0.00446,0.00130
775,0.00033,0.00172,0.00067,0.00422,0.00127
776,0.00032,0.00155,0.00151,0.00387,0.00157
777,0.00026,0.00151,0.00140,0.00325,0.00168
778,0.00049,0.00145,0.00122,0.00328,0.00168
779,0.00079,0.00150,0.00163,0.00456,0.00152
780,0.00093,0.00179,0.00176,0.00389,0.00183
781,0.00041,0.00183,0.00196,0.00323,0.00167
782,0.00032,0.00184,0.00119,0.00155,0.00170
783,0.00037,0.00146,0.00108,0.00144,0.00176
784,0.00025,0.00190,0.00123,0.00364,0.00163
785,0.00027,0.00243,0.00146,0.00338,0.00190
786,0.00055,0.00256,0.00165,0.00134,0.00228
787,0.00058,0.00203,0.00202,0.00315,0.00271
788,0.00070,0.00171,0.00213,0.00426,0.00261
789,0.00075,0.00200,0.00197,0.00429,0.00247
790,0.00072,0.00190,0.00142,0.00542,0.00296
791,0.00035,0.00189,0.00187,0.00311,0.00313
792,0.00065,0.00172,0.00116,0.00316,0.00355
793,0.00047,0.00222,0.00112,0.00299,0.00444
794,0.00059,0.00310,0.00143,0.00467,0.00509
795,0.00034,0.00372,0.00139,0.00194,0.00538
796,0.00043,0.00386,0.00155,0.00180,0.00613
797,0.00053,0.00321,0.00131,0.00265,0.00675
798,0.00076,0.00487,0.00130,0.00383,0.00844
799,0.00066,0.00427,0.00108,0.00253,0.01034
800,0.00055,0.00506,0.00218,0.00238,0.01295
801,0.00051,0.00441,0.00206,0.00205,0.01494
802,0.00020,0.00466,0.00179,0.00104,0.01874
803,0.00055,0.00495,0.00181,0.00245,0.02338
804,0.00058,0.00480,0.00142,0.00373,0.02961
805,0.00052,0.00497,0.00116,0.00428,0.03552
806,0.00092,0.00379,0.00116,0.00520,0.04542
807,0.00063,0.00408,0.00208,0.00365,0.05903
808,0.00035,0.00405,0.00101,0.00364,0.07816
809,0.00052,0.00349,0.00166,0.00352,0.10509
810,0.00101,0.00349,0.00138,0.00467,0.12834
811,0.00107,0.00301,0.00138,0.00398,0.17319
812,0.00073,0.00218,0.00175,0.00460,0.23391
813,0.00054,0.00282,0.00175,0.00484,0.31004
814,0.00052,0.00233,0.00130,0.00721,0.39537
815,0.00015,0.00222,0.00127,0.00747,0.45147
816,0.00080,0.00299,0.00218,0.00673,0.53483
817,0.00122,0.00324,0.00256,0.01044,0.60413
818,0.00071,0.00320,0.00185,0.01119,0.65606
819,0.00072,0.00324,0.00154,0.01188,0.69649
820,0.00048,0.00260,0.00155,0.00784,0.72030
821,0.00035,0.00187,0.00131,0.00480,0.74543
822,0.00047,0.00266,0.00284,0.00294,0.76220
823,0.00079,0.00116,0.00225,0.00449,0.77523
824,0.00063,0.00203,0.00222,0.00304,0.78217
